I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5323,1992,5,15,5/15/1992,8,8,2.9,50,6.2,KYRGYZSTAN,,KYRGYZSTAN:  OSH; UZBEKISTAN:  ANDIZHAN,,e
5324,1992,5,17,5/17/1992,10,15,31.3,33,7.5,PHILIPPINES,,"PHILIPPINES:  MINDANAO, TANDAG, BISLIG",,e
5325,1992,5,20,5/20/1992,12,20,32.8,16,6,PAKISTAN,,"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",,e
5327,1992,5,25,5/25/1992,16,55,4.1,23,7,CUBA,,"CUBA:  PILON, MANZANILLO",,e
6331,1992,5,27,5/27/1992,5,13,38.8,19,7,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,,e
5328,1992,6,28,6/28/1992,11,57,34.1,1,7.6,USA,CA,"CALIFORNIA: LANDERS, YUCCA  VALLEY",,e
5330,1992,6,28,6/28/1992,15,5,30.7,5,6.7,USA,CA,"CALIFORNIA: BIG BEAR LAKE, BIG BEAR CITY",,e
5331,1992,6,29,6/29/1992,10,14,22.2,9,5.4,USA,NV,NEVADA-CALIFORNIA BORDER:  NEVADA TEST SITE,,e
6484,1992,7,18,7/18/1992,8,36,58.7,29,7,JAPAN,,JAPAN:  HONSHU ISLAND,,e
9818,1992,8,11,8/11/1992,15,14,55.1,16,6.3,JAPAN,,JAPAN:  HONSHU:  S,,e
5332,1992,8,19,8/19/1992,2,4,37.4,27,7.5,KYRGYZSTAN,,KYRGYZSTAN:  TOLUK,,e
5334,1992,8,28,8/28/1992,0,50,50.4,9,5.5,PAKISTAN,,PAKISTAN:  KALAT,,e
5335,1992,9,2,9/2/1992,0,16,2.8,40,7.7,NICARAGUA,,NICARAGUA:  MASACHAPA; COSTA RICA,,e
5337,1992,9,8,9/8/1992,0,38,15.4,18,4.7,IRAN,,IRAN:  FIRUZABAD,,e
5338,1992,9,11,9/11/1992,3,57,26.5,11,7,CONGO,,CONGO:  KABALO,,e
5339,1992,10,12,10/12/1992,13,9,55.5,22,5.3,EGYPT,,EGYPT:  CAIRO,,e
